request_id,department,channel,region,service_area,customer_type,previous_requests_90d,requester_tenure_months,request_text_length,sentiment_score,updates_first_24h,attachments_count,opened_hour,opened_weekday,sla_breach,priority_level,resolution_hours_after_close,closed_status_after_close,escalation_outcome_after_close
SR-00054,IT,Portal,Scotland,Access,Internal,3,80,240,-0.428,1,1,12,Wed,1,Low,68.9,Closed after SLA,Team review
SR-00014,Customer Support,Chat,England,Access,Public Sector,1,30,76,0.165,1,1,11,Wed,0,Standard,16.5,Closed within SLA,Team review
SR-00748,HR,Phone,England,Technical,Public Sector,6,48,174,0.054,1,0,16,Tue,1,Urgent,90.2,Closed after SLA,Escalated after breach
SR-00826,Operations,Portal,England,Onboarding,SME Client,3,8,115,-0.082,2,0,10,Tue,0,Low,10.3,Closed within SLA,No escalation
SR-00488,Operations,Portal,Scotland,Policy,Enterprise Client,1,82,119,0.955,2,1,15,Tue,0,Standard,25.2,Closed within SLA,No escalation
SR-00890,IT,Portal,England,Billing,SME Client,2,5,323,-0.046,0,0,11,Thu,1,Urgent,55.8,Closed after SLA,Escalated after breach
SR-00027,HR,Portal,England,Technical,Public Sector,3,56,71,0.56,1,1,15,Tue,0,Low,19.0,Closed within SLA,No escalation
SR-00110,Customer Support,Email,Wales,Access,Enterprise Client,3,30,262,0.347,1,0,13,Mon,1,Low,59.8,Closed after SLA,No escalation
SR-00047,Finance,Phone,England,Access,SME Client,0,27,247,0.105,1,0,12,Thu,0,Low,35.1,Closed within SLA,No escalation
SR-00465,IT,Email,England,Technical,Internal,3,52,195,-0.693,1,1,12,Wed,1,Urgent,58.7,Closed after SLA,Escalated after breach
SR-00725,Operations,Portal,Wales,Access,Internal,3,56,244,0.525,0,0,8,Fri,0,Standard,2.2,Closed within SLA,No escalation
SR-00210,HR,Portal,England,Onboarding,Enterprise Client,1,70,117,-0.132,1,1,12,Thu,0,Low,26.3,Closed within SLA,No escalation
SR-00850,Legal,Email,Scotland,Policy,Internal,0,72,102,-0.434,2,0,9,Wed,0,Low,31.6,Closed within SLA,No escalation
SR-00309,Finance,Portal,England,Access,SME Client,2,44,87,0.716,0,0,10,Wed,0,Low,9.5,Closed within SLA,No escalation
SR-00658,Finance,Email,England,Onboarding,SME Client,1,18,151,0.378,0,0,9,Mon,1,Standard,80.9,Closed after SLA,Manager note
SR-00464,Finance,Portal,England,Technical,SME Client,2,27,241,0.575,1,1,8,Tue,1,Urgent,55.5,Closed after SLA,Escalated after breach
SR-00732,Operations,Chat,England,Onboarding,Public Sector,1,36,216,-0.227,1,1,17,Fri,0,Standard,23.8,Closed within SLA,Team review
SR-00058,IT,Email,England,Technical,SME Client,2,41,265,-0.374,4,0,18,Mon,1,Low,53.5,Closed after SLA,Team review
SR-00493,IT,Portal,England,Onboarding,Enterprise Client,4,51,128,0.304,0,0,15,Thu,1,Standard,51.4,Closed after SLA,No escalation
SR-00587,Operations,Chat,Northern Ireland,Technical,Internal,3,79,213,-0.267,3,0,10,Fri,0,Low,13.9,Closed within SLA,No escalation
SR-00217,Operations,Portal,England,Billing,SME Client,4,74,84,-0.281,1,0,11,Tue,0,Standard,25.6,Closed within SLA,No escalation
SR-00610,HR,Phone,Wales,Access,Internal,2,43,89,0.642,1,0,19,Mon,0,Urgent,11.8,Closed within SLA,Team review
SR-00062,HR,Email,Northern Ireland,Policy,Public Sector,4,59,48,1.0,1,0,12,Tue,1,Standard,36.2,Closed after SLA,No escalation
SR-00324,IT,Email,England,Onboarding,Public Sector,2,2,161,1.0,4,2,19,Wed,0,Standard,12.1,Closed within SLA,No escalation
SR-00816,Customer Support,Phone,England,Technical,Enterprise Client,1,20,224,0.014,2,0,18,Tue,1,Standard,61.3,Closed after SLA,No escalation
SR-00801,Customer Support,Chat,England,Onboarding,Enterprise Client,3,75,211,0.47,2,1,14,Tue,1,Low,65.9,Closed after SLA,Team review
SR-00481,HR,Email,England,Data Request,SME Client,0,78,224,0.248,2,1,18,Wed,0,Standard,7.9,Closed within SLA,No escalation
SR-00857,Customer Support,Portal,England,Onboarding,Internal,1,77,229,-0.209,2,0,17,Thu,0,Standard,34.8,Closed within SLA,No escalation
SR-00687,HR,Portal,Scotland,Onboarding,Public Sector,2,53,259,1.0,1,0,18,Mon,0,Standard,17.4,Closed within SLA,No escalation
SR-00586,IT,Portal,Scotland,Technical,Enterprise Client,3,61,172,0.633,2,1,10,Wed,1,Standard,68.8,Closed after SLA,Manager note
SR-00141,HR,Portal,England,Technical,Internal,1,38,225,-0.052,2,1,19,Thu,0,Low,36.5,Closed within SLA,Team review
SR-00581,HR,Email,Scotland,Technical,Enterprise Client,5,29,84,-0.868,0,0,8,Thu,1,Urgent,52.4,Closed after SLA,Escalated after breach
SR-00233,Legal,Portal,England,Onboarding,SME Client,1,71,181,-0.774,0,0,19,Wed,0,Urgent,14.8,Closed within SLA,No escalation
SR-00570,IT,Portal,England,Access,SME Client,3,64,57,-0.354,1,1,17,Fri,0,Standard,1.6,Closed within SLA,No escalation
SR-00180,Customer Support,Portal,England,Access,Public Sector,3,70,78,0.335,1,1,9,Fri,0,Urgent,18.4,Closed within SLA,Team review
SR-00331,Customer Support,Portal,England,Technical,SME Client,0,37,220,-0.045,0,0,14,Tue,0,Low,31.0,Closed within SLA,No escalation
SR-00035,HR,Phone,England,Billing,SME Client,0,20,168,0.046,1,1,15,Fri,0,Standard,37.1,Closed within SLA,No escalation
SR-00368,IT,Chat,England,Access,Internal,1,49,63,-0.729,2,0,11,Mon,0,Standard,17.6,Closed within SLA,No escalation
SR-00822,IT,Portal,Northern Ireland,Policy,Internal,2,62,173,-0.668,4,1,16,Mon,0,Low,24.7,Closed within SLA,Team review
SR-00095,Finance,Chat,England,Policy,Enterprise Client,6,6,171,-0.494,2,0,8,Fri,1,Standard,39.3,Closed after SLA,No escalation
SR-00860,IT,Chat,England,Onboarding,Enterprise Client,4,76,230,0.054,2,1,8,Thu,0,Urgent,26.9,Closed within SLA,No escalation
SR-00229,IT,Email,England,Billing,Public Sector,0,33,225,-0.272,0,0,15,Wed,1,Urgent,44.8,Closed after SLA,Escalated after breach
SR-00126,HR,Portal,England,Technical,Enterprise Client,1,3,130,-0.154,2,0,7,Tue,0,Low,19.1,Closed within SLA,No escalation
SR-00271,Operations,Portal,Wales,Onboarding,SME Client,2,15,163,-0.14,0,0,15,Thu,0,Low,31.2,Closed within SLA,No escalation
SR-00348,Finance,Portal,Northern Ireland,Technical,Internal,1,2,128,-0.858,2,1,15,Fri,1,Urgent,62.1,Closed after SLA,Escalated after breach
SR-00541,Legal,Portal,England,Policy,SME Client,2,56,240,0.267,0,2,7,Fri,1,Standard,51.9,Closed after SLA,No escalation
SR-00571,Finance,Chat,England,Data Request,Public Sector,1,5,182,-0.016,0,1,11,Tue,0,Standard,23.2,Closed within SLA,No escalation
SR-00443,Customer Support,Email,England,Data Request,Internal,1,23,216,0.539,1,0,10,Tue,1,Standard,67.6,Closed after SLA,Manager note
SR-00691,Finance,Portal,Northern Ireland,Access,Internal,5,22,229,-0.151,0,1,17,Fri,1,Standard,79.7,Closed after SLA,Manager note
SR-00485,Operations,Chat,England,Access,SME Client,3,12,83,0.011,2,0,7,Mon,0,Low,6.5,Closed within SLA,Team review
SR-00871,Customer Support,Email,England,Technical,Public Sector,1,62,101,0.263,2,1,15,Thu,0,Standard,22.4,Closed within SLA,No escalation
SR-00900,IT,Email,Wales,Onboarding,Enterprise Client,3,36,155,-0.332,2,2,17,Thu,0,Standard,37.3,Closed within SLA,No escalation
SR-00306,HR,Portal,England,Technical,Enterprise Client,5,36,138,0.243,3,0,11,Mon,1,Standard,63.8,Closed after SLA,No escalation
SR-00818,IT,Email,Wales,Access,Internal,2,69,232,0.073,1,0,14,Fri,0,Low,27.7,Closed within SLA,No escalation
SR-00683,Operations,Email,England,Data Request,Enterprise Client,2,40,213,-0.532,1,0,8,Tue,1,Standard,55.8,Closed after SLA,Team review
SR-00675,IT,Portal,England,Onboarding,Internal,0,58,176,0.728,1,1,16,Thu,0,Low,17.8,Closed within SLA,Team review
SR-00815,Operations,Portal,England,Policy,Internal,2,52,152,0.262,3,1,19,Thu,0,Low,1.0,Closed within SLA,No escalation
SR-00252,Customer Support,Chat,England,Technical,Internal,2,27,164,0.354,1,0,7,Thu,1,Urgent,63.8,Closed after SLA,Escalated after breach
SR-00317,Finance,Portal,England,Data Request,SME Client,3,32,127,0.673,3,1,10,Fri,0,Urgent,33.3,Closed within SLA,No escalation
SR-00149,HR,Chat,England,Technical,Internal,2,78,255,0.169,1,0,19,Fri,0,Low,40.2,Closed within SLA,No escalation
SR-00553,Operations,Chat,England,Billing,SME Client,3,3,219,0.359,2,0,8,Fri,1,Low,67.4,Closed after SLA,No escalation
SR-00472,HR,Chat,England,Technical,Enterprise Client,1,25,276,-0.657,2,1,7,Fri,0,Standard,1.1,Closed within SLA,Team review
SR-00389,Operations,Email,England,Onboarding,Public Sector,2,74,301,0.194,0,0,7,Fri,0,Urgent,14.5,Closed within SLA,No escalation
SR-00356,IT,Chat,Wales,Onboarding,SME Client,4,37,194,0.491,1,2,18,Wed,0,Low,32.0,Closed within SLA,No escalation
SR-00833,HR,Phone,Wales,Onboarding,Enterprise Client,1,49,200,0.489,0,0,13,Tue,0,Low,18.7,Closed within SLA,No escalation
SR-00619,Operations,Portal,England,Access,Public Sector,0,59,101,0.333,2,0,9,Fri,1,Low,57.7,Closed after SLA,No escalation
SR-00254,Finance,Portal,Scotland,Policy,SME Client,2,35,25,0.054,0,0,12,Mon,0,Standard,4.7,Closed within SLA,No escalation
SR-00876,Customer Support,Email,England,Billing,Enterprise Client,5,24,162,-0.314,1,0,11,Fri,1,Standard,71.1,Closed after SLA,Team review
SR-00147,Finance,Portal,England,Billing,Internal,2,17,285,-0.309,2,1,11,Thu,0,Low,24.6,Closed within SLA,Team review
SR-00165,IT,Portal,Scotland,Onboarding,Internal,4,76,37,0.067,1,1,7,Wed,0,Low,8.4,Closed within SLA,Team review
SR-00663,Operations,Chat,England,Technical,Internal,5,83,133,0.103,0,0,7,Thu,0,Urgent,26.4,Closed within SLA,No escalation
SR-00702,Finance,Portal,England,Policy,Enterprise Client,3,23,212,0.532,1,0,12,Mon,0,Standard,13.4,Closed within SLA,Team review
SR-00238,Customer Support,Email,England,Access,Internal,1,5,179,0.436,2,0,10,Thu,0,Low,20.1,Closed within SLA,Team review
SR-00777,IT,Phone,England,Policy,Enterprise Client,6,18,196,1.0,0,1,15,Wed,0,Urgent,55.8,Closed within SLA,Team review
SR-00568,Operations,Portal,England,Technical,SME Client,2,75,108,-0.205,1,0,9,Thu,1,Urgent,101.6,Closed after SLA,Escalated after breach
SR-00325,Customer Support,Portal,England,Billing,Internal,2,39,168,0.282,0,0,19,Tue,0,Low,18.2,Closed within SLA,No escalation
SR-00049,IT,Chat,England,Onboarding,Internal,3,7,305,0.229,2,0,9,Mon,1,Low,61.9,Closed after SLA,Team review
SR-00129,Operations,Phone,England,Technical,Enterprise Client,2,76,271,-0.023,3,2,17,Mon,1,Low,91.3,Closed after SLA,No escalation
SR-00272,Operations,Phone,England,Technical,Internal,1,48,251,-0.33,1,0,9,Mon,0,Low,28.9,Closed within SLA,No escalation
SR-00075,Operations,Portal,Wales,Technical,Enterprise Client,2,30,136,-0.197,1,0,8,Thu,1,Low,57.9,Closed after SLA,Team review
SR-00838,Legal,Portal,England,Technical,Internal,4,66,217,0.973,1,0,8,Thu,0,Low,17.9,Closed within SLA,Team review
SR-00633,Operations,Email,England,Access,Enterprise Client,2,5,92,0.269,1,0,10,Mon,1,Standard,58.8,Closed after SLA,No escalation
SR-00627,Customer Support,Portal,England,Onboarding,Enterprise Client,2,41,89,0.563,1,0,15,Fri,0,Low,12.6,Closed within SLA,No escalation
SR-00206,Operations,Phone,Wales,Technical,Internal,3,50,151,-0.196,5,1,9,Fri,1,Standard,30.1,Closed after SLA,No escalation
SR-00160,Customer Support,Phone,England,Onboarding,Internal,4,2,223,0.356,2,0,12,Thu,1,Urgent,83.5,Closed after SLA,Escalated after breach
SR-00795,Operations,Phone,England,Access,SME Client,5,47,281,0.34,0,0,14,Thu,0,Low,1.0,Closed within SLA,Manager note
SR-00834,IT,Portal,England,Access,SME Client,3,68,153,-0.981,0,0,9,Thu,1,Low,59.3,Closed after SLA,No escalation
SR-00098,Operations,Portal,England,Billing,Internal,2,46,73,0.726,0,0,8,Mon,0,Low,15.2,Closed within SLA,No escalation
SR-00329,IT,Chat,England,Technical,Internal,3,16,132,0.001,1,0,14,Mon,1,Urgent,70.0,Closed after SLA,Escalated after breach
SR-00766,Operations,Chat,England,Technical,Internal,2,31,91,0.42,3,1,10,Tue,0,Low,2.2,Closed within SLA,No escalation
SR-00128,Operations,Portal,England,Access,Internal,3,19,99,-0.131,2,0,16,Wed,1,Low,65.1,Closed after SLA,No escalation
SR-00438,HR,Email,England,Access,Enterprise Client,1,46,223,0.43,2,0,9,Fri,0,Low,28.1,Closed within SLA,No escalation
SR-00298,Customer Support,Email,England,Access,SME Client,2,33,76,0.284,1,0,15,Fri,1,Low,78.5,Closed after SLA,Manager note
SR-00597,IT,Chat,England,Technical,Internal,2,82,171,-0.167,0,0,12,Wed,1,Urgent,51.9,Closed after SLA,Escalated after breach
SR-00081,IT,Chat,England,Access,Enterprise Client,2,80,244,-0.482,1,0,16,Fri,0,Low,11.0,Closed within SLA,No escalation
SR-00563,Customer Support,Portal,England,Access,Public Sector,1,12,207,-0.663,3,2,11,Tue,0,Urgent,45.3,Closed within SLA,Manager note
SR-00337,Operations,Portal,England,Technical,SME Client,5,2,155,0.469,2,0,10,Fri,1,Standard,70.9,Closed after SLA,No escalation
SR-00515,Finance,Portal,England,Access,Enterprise Client,1,75,95,0.105,1,0,16,Wed,0,Low,24.7,Closed within SLA,No escalation
SR-00543,Customer Support,Portal,Scotland,Policy,Internal,3,44,122,0.077,1,1,13,Thu,0,Standard,28.6,Closed within SLA,No escalation
SR-00404,Operations,Portal,England,Technical,Internal,3,65,134,0.446,3,1,10,Fri,0,Urgent,27.7,Closed within SLA,Team review
SR-00745,HR,Portal,England,Policy,Enterprise Client,5,18,336,1.0,1,2,12,Wed,0,Standard,19.4,Closed within SLA,No escalation
SR-00703,Operations,Phone,Northern Ireland,Onboarding,Public Sector,1,47,166,-0.249,3,1,11,Thu,0,Low,5.3,Closed within SLA,Team review
SR-00659,IT,Email,England,Technical,Public Sector,2,18,195,-0.179,0,0,17,Mon,1,Urgent,68.5,Closed after SLA,Escalated after breach
SR-00572,Customer Support,Portal,England,Technical,Enterprise Client,0,62,166,0.402,2,0,10,Fri,1,Standard,79.2,Closed after SLA,No escalation
SR-00578,IT,Chat,England,Onboarding,Public Sector,2,34,255,0.555,2,1,10,Mon,0,Standard,6.6,Closed within SLA,No escalation
SR-00808,Operations,Email,England,Technical,SME Client,1,13,152,0.242,2,1,14,Mon,1,Standard,73.1,Closed after SLA,Manager note
SR-00612,IT,Portal,Northern Ireland,Data Request,SME Client,1,59,183,0.024,1,0,12,Wed,0,Standard,20.4,Closed within SLA,Team review
SR-00678,HR,Phone,England,Policy,Public Sector,1,13,198,0.308,1,1,15,Mon,0,Standard,3.7,Closed within SLA,Team review
SR-00789,Customer Support,Email,England,Access,Enterprise Client,3,36,54,-0.049,0,0,14,Tue,0,Standard,15.7,Closed within SLA,Team review
SR-00685,IT,Email,Scotland,Access,Public Sector,1,36,372,0.162,1,1,13,Wed,0,Low,15.8,Closed within SLA,No escalation
SR-00415,Operations,Portal,Wales,Onboarding,SME Client,4,58,265,-0.735,2,1,10,Thu,0,Low,15.5,Closed within SLA,No escalation
SR-00588,Finance,Email,England,Onboarding,Internal,2,71,93,-0.187,3,0,13,Thu,1,Standard,76.3,Closed after SLA,Manager note
SR-00353,IT,Portal,Scotland,Technical,Public Sector,4,48,173,-1.0,2,1,18,Thu,1,Urgent,38.4,Closed after SLA,Escalated after breach
SR-00172,IT,Email,Northern Ireland,Onboarding,Public Sector,1,62,44,0.426,1,0,11,Wed,0,Standard,15.6,Closed within SLA,No escalation
SR-00366,HR,Phone,England,Onboarding,Internal,2,52,202,-0.239,2,1,8,Tue,0,Standard,19.4,Closed within SLA,No escalation
SR-00016,Operations,Chat,England,Billing,Enterprise Client,3,55,179,-0.746,1,0,13,Thu,0,Low,17.0,Closed within SLA,Manager note
SR-00674,IT,Phone,England,Access,Public Sector,2,55,197,0.66,3,0,14,Wed,0,Standard,24.5,Closed within SLA,Team review
SR-00432,Customer Support,Email,England,Policy,SME Client,4,32,125,-0.552,0,0,8,Fri,1,Standard,91.9,Closed after SLA,No escalation
SR-00714,Customer Support,Portal,England,Access,Enterprise Client,3,38,138,-0.478,1,1,10,Tue,0,Low,22.2,Closed within SLA,No escalation
SR-00769,Operations,Portal,England,Billing,Internal,3,1,27,0.015,1,1,12,Tue,1,Standard,84.2,Closed after SLA,Manager note
SR-00532,IT,Email,England,Access,Enterprise Client,4,76,232,-0.266,1,0,18,Tue,0,Low,10.7,Closed within SLA,No escalation
SR-00894,Operations,Phone,Northern Ireland,Access,Internal,1,8,186,0.347,4,0,19,Fri,0,Low,20.6,Closed within SLA,No escalation
SR-00148,IT,Phone,Wales,Access,Public Sector,2,64,111,0.174,4,0,12,Thu,1,Urgent,75.4,Closed after SLA,Escalated after breach
SR-00442,Operations,Phone,England,Access,Enterprise Client,0,45,189,-0.33,2,0,17,Tue,1,Low,47.0,Closed after SLA,No escalation
SR-00455,Operations,Chat,Northern Ireland,Access,Enterprise Client,3,53,232,0.667,5,0,17,Tue,0,Low,32.3,Closed within SLA,No escalation
SR-00286,HR,Phone,England,Billing,Internal,3,65,140,-0.773,0,0,12,Fri,1,Standard,55.4,Closed after SLA,No escalation
SR-00243,Operations,Phone,England,Technical,Enterprise Client,4,31,324,0.416,1,0,7,Tue,0,Standard,48.0,Closed within SLA,Team review
SR-00843,IT,Portal,England,Policy,Public Sector,2,72,185,-0.252,0,2,19,Tue,0,Standard,19.0,Closed within SLA,No escalation
SR-00139,Customer Support,Email,England,Billing,Enterprise Client,2,80,164,-0.265,2,0,17,Thu,0,Low,8.5,Closed within SLA,No escalation
SR-00055,IT,Chat,Scotland,Policy,Internal,3,58,86,-0.093,0,2,9,Mon,0,Low,8.1,Closed within SLA,No escalation
SR-00799,IT,Chat,Northern Ireland,Billing,Internal,1,79,192,0.026,2,2,17,Mon,1,Urgent,78.8,Closed after SLA,Escalated after breach
SR-00697,Customer Support,Portal,England,Access,SME Client,1,29,230,-0.375,1,0,10,Fri,0,Urgent,26.2,Closed within SLA,Team review
SR-00707,Customer Support,Chat,Northern Ireland,Onboarding,SME Client,2,44,222,-0.975,5,0,9,Thu,1,Low,65.4,Closed after SLA,Team review
SR-00593,Finance,Email,England,Onboarding,SME Client,3,38,196,-0.356,2,0,8,Wed,0,Standard,14.5,Closed within SLA,No escalation
SR-00636,Operations,Email,Northern Ireland,Billing,Internal,0,59,304,0.309,1,0,17,Wed,0,Low,25.3,Closed within SLA,Manager note
SR-00023,Legal,Email,England,Billing,SME Client,2,81,174,-0.595,5,1,11,Tue,0,Low,25.2,Closed within SLA,No escalation
SR-00817,Customer Support,Portal,England,Technical,SME Client,2,6,192,-0.296,2,1,8,Wed,0,Standard,1.0,Closed within SLA,No escalation
SR-00866,Customer Support,Portal,Scotland,Technical,Internal,3,29,215,0.13,2,0,18,Thu,0,Standard,45.2,Closed within SLA,No escalation
SR-00805,Operations,Email,England,Technical,SME Client,0,77,164,-0.876,1,1,8,Wed,1,Standard,43.0,Closed after SLA,Team review
SR-00531,IT,Chat,England,Onboarding,Enterprise Client,1,52,85,-0.295,2,0,9,Thu,1,Low,34.7,Closed after SLA,No escalation
SR-00884,HR,Portal,England,Technical,Internal,3,32,144,-0.054,0,0,8,Tue,0,Low,2.7,Closed within SLA,No escalation
SR-00726,Operations,Phone,England,Onboarding,SME Client,0,32,123,0.711,1,1,13,Thu,0,Low,4.0,Closed within SLA,No escalation
SR-00388,Legal,Portal,England,Onboarding,SME Client,3,2,170,-0.518,3,1,7,Wed,0,Low,15.0,Closed within SLA,No escalation
SR-00284,Finance,Portal,England,Technical,SME Client,2,15,166,0.578,2,0,12,Fri,0,Urgent,21.4,Closed within SLA,No escalation
SR-00467,IT,Portal,Scotland,Access,Internal,1,22,157,0.33,1,0,12,Thu,1,Low,58.0,Closed after SLA,No escalation
SR-00784,IT,Portal,England,Onboarding,SME Client,1,69,146,-0.058,0,0,8,Wed,1,Low,57.6,Closed after SLA,No escalation
SR-00143,Legal,Email,England,Onboarding,Public Sector,1,54,159,0.15,2,0,13,Wed,0,Standard,2.5,Closed within SLA,Team review
SR-00051,Operations,Email,England,Billing,Internal,1,52,151,0.716,2,0,11,Thu,0,Low,33.7,Closed within SLA,No escalation
